id;tracking_code;date;details;invoice_id
1;Mouse Villages;2022-04-13T19:51:28;unleash integrate;1
2;Gloves Account Belarussian;2022-04-14T05:51:49;Orchestrator Stravenue;2
3;Gorgeous Checking;2022-04-13T11:10:21;SSL zero;3
4;user-facing turquoise;2022-04-14T01:00:29;Iran Garden auxiliary;4
5;experiences multi-tasking Tasty;2022-04-13T12:28:22;Viaduct Bedfordshire;5
6;Shoes Avon;2022-04-14T07:49:55;Lilangeni;6
7;Music Handmade;2022-04-13T17:27:33;Estate red;7
8;Officer mobile Specialist;2022-04-14T03:17:36;system;8
9;bypass;2022-04-14T08:49:54;Streamlined;9
10;invoice Quality-focused hack;2022-04-13T13:10:43;wireless Borders;10
